feature,avg_rank
partner_import_v,1.6666666666666667
global_demand_rank,2.3333333333333335
global_demand_log,3.3333333333333335
market_size_usd,5.666666666666667
world_import_v,7.666666666666667
gdp_usd,8.666666666666666
world_import_v_lag1,10.333333333333334
world_import_v_lag2,10.333333333333334
population,11.0
world_demand_growth,11.333333333333334
dist_km,12.0
rca,13.0
rca_lag1,14.666666666666666
n_export_destinations,15.0
market_penetration,15.333333333333334
alg_export_v,17.0
hhi_export,17.0
rca_lag2,17.333333333333332
gdp_per_capita,18.0
trade_balance_bilateral,18.333333333333332
trade_coverage_ratio,19.0
comlang_off,19.333333333333332
distw_km,19.666666666666668
trade_pct_gdp,20.666666666666668
comcol,25.0
contig,25.0
market_penetration_lag2,25.666666666666668
alg_export_v_lag2,27.0
comlang_ethno,29.0
smctry,29.333333333333332
is_new_entry,30.666666666666668
colony,32.0
market_penetration_lag1,32.5
alg_export_v_lag1,32.5
alg_export_growth,32.666666666666664
