description_short,n_high_opportunities,total_partner_import_v,avg_market_penetration
Vehicles: compression-ignition internal combustion piston en,333,210433373.833,0.0
"Nonwovens: whether or not impregnated, coated, covered or la",299,13900172.28,0.0
"Iron or non-alloy steel: in coils, without patterns in relie",252,39697269.614,0.0
Vehicles: spark-ignition internal combustion reciprocating p,251,527709269.454,0.0
"Iron or non-alloy steel: flat-rolled, width 600mm or more, p",245,23018034.599,0.0
"Yarn, synthetic: filament, monofilament (less than 67 decite",232,9906193.024,0.0
"Trousers, bib and brace overalls, breeches and shorts: men's",218,34806914.874,0.0
Paper and paperboard: coated with kaolin or other inorganic ,209,11786171.753,0.0
"Steel, stainless: flat-rolled, width 600mm or more, hot-roll",199,13419677.645,0.0
Oil-cake and other solid residues: whether or not ground or ,196,43688843.153,0.0
"Trousers, bib and brace overalls, breeches and shorts: women",194,38338338.601,0.0
"Uncoated paper and paperboard (not 4801 or 4803): printing, ",189,11989203.681,0.0
"Electrical transformers: liquid dielectric, having a power h",189,11622278.857,0.0
"Plastics: plates, sheets, film, foil and strip (not self-adh",179,26843319.909,0.0
Electric generating sets: with compression-ignition internal,174,9886191.31,0.0
"Rubber: vulcanised (other than hard rubber), tubing, piping ",173,7765931.328,0.0
"Amino-acids, other than those containing more than one kind ",171,8345977.123,0.0
"Tools, interchangeable: (for machine or hand tools, whether ",168,14586301.218,0.0
"Textile fabrics: impregnated, coated, covered or laminated w",165,10833362.481,0.0
"Plywood: as specified in Subheading Note 2 to this Chapter, ",157,11799542.716,0.0
"Anoraks (including ski-jackets), wind-cheaters, wind-jackets",157,26445143.703,0.0
Regulating or controlling instruments and apparatus: automat,155,30121861.051999997,0.0
"Air conditioning machines: containing a motor driven fan, ot",153,12804450.765999999,0.0
"Aluminium: plates, sheets and strip, thickness exceeding 0.2",152,34687332.501,0.0
Fork-lift and other works trucks: fitted with lifting or han,151,29129915.824,0.0
