j,iso3,country_name,cluster_kmeans,cluster_agg,log_total_partner_import,median_global_demand_log,median_world_demand_growth,mean_market_penetration,opportunity_rate,median_gdp_per_capita,import_growth_slope
4,AFG,Afghanistan,0,0,18.282658974281038,13.40985727426946,0.0,1.5514794070167416e-09,0.06620477290223249,545.519750650185,0.04291445617294546
8,ALB,Albania,0,0,17.45040325048347,13.40985727426946,0.0,8.690045939997684e-05,0.045467667436489605,4668.26327344132,-0.004639739135317815
12,DZA,Algeria,1,1,19.838242346539385,13.40985727426946,0.0,0.0,0.3038394919168591,4631.134659547465,-0.04799418853563651
16,ASM,American Samoa,1,1,14.231958965540011,13.40985727426946,0.0,0.0,0.017032332563510392,12289.19458991745,-0.06508403691147031
20,AND,Andorra,0,0,16.29557435521578,13.40985727426946,0.0,3.897762239564495e-06,0.027906081601231716,41379.1832290869,0.010386372899411082
24,AGO,Angola,0,0,18.83809020481049,13.40985727426946,0.0,0.00012268045954864733,0.12548113933795227,3250.91129378382,-0.07447675220089185
28,ATG,Antigua and Barbuda,0,0,15.825148349617928,13.40985727426946,0.0,6.122924862991102e-06,0.017922440338722093,16317.244628549699,-0.029525547827244966
31,AZE,Azerbaijan,0,0,18.422403304492722,13.40985727426946,0.0,4.682771956595152e-05,0.07979695919938413,5153.128681972015,0.005166209096416968
32,ARG,Argentina,0,0,20.051425796791854,13.40985727426946,0.0,4.2332909937756966e-05,0.4126732101616628,12824.8399002148,-0.035252895515306276
36,AUS,Australia,0,0,21.28645677579662,13.40985727426946,0.0,3.700167385151913e-05,0.7866147036181679,57190.26751870515,-0.007674713600991325
40,AUT,Austria,0,0,21.012568636944223,13.40985727426946,0.0,5.9036131860002235e-05,0.8354744033872209,49068.20032489205,0.008497975156229024
44,BHS,Bahamas,0,0,18.047846662037095,13.40985727426946,0.0,7.349344335507784e-05,0.05148190916089299,30667.9708665987,0.023142680113220637
48,BHR,Bahrain,0,0,18.80326360447593,13.40985727426946,0.0,6.19385520597256e-05,0.10115954580446497,26381.53998899935,0.04470930582672862
50,BGD,Bangladesh,0,0,19.85835078083599,13.40985727426946,0.0,4.2292667104230886e-05,0.30441685912240185,1436.83514263383,0.10607829679558915
51,ARM,Armenia,0,0,17.318963222184436,13.40985727426946,0.0,1.338268632437238e-06,0.036903387220939186,3766.14246384635,0.08276629730692193
52,BRB,Barbados,0,0,16.12060899655751,13.40985727426946,0.0,1.3249570971880544e-08,0.02169938414164742,20417.20764842935,0.06299896049530206
56,BEL,Belgium,2,0,21.724165713104558,13.40985727426946,0.0,0.00022399450696627092,0.9081264434180139,45795.39683250435,0.001812869398560148
60,BMU,Bermuda,0,0,16.811222307857655,13.40985727426946,0.0,1.008931676632006e-08,0.0255725558121632,106801.36148322,-0.09036781696304731
64,BTN,Bhutan,1,1,15.664208617974811,13.40985727426946,0.0,0.0,0.02297440338722094,3053.174935089415,0.1505978452459822
68,BOL,Bolivia (Plurinational State of),0,0,18.18193106890677,13.40985727426946,0.0,2.339052353079386e-06,0.061393379522709776,3038.6542544727,-0.002220487808357554
70,BIH,Bosnia Herzegovina,0,0,18.25145242914749,13.40985727426946,0.0,5.9706258231294746e-05,0.080614896073903,5120.316041460999,0.016491746505775208
72,BWA,Botswana,0,0,17.85377817594731,13.40985727426946,0.0,1.770211779243127e-07,0.05727963818321786,6927.0119771352,-0.01829474995787985
76,BRA,Brazil,0,0,21.199414839053222,13.40985727426946,0.0,0.0002432250371062639,0.6932977290223249,9690.58430066107,-0.04907566026766715
84,BLZ,Belize,0,0,16.02348688167811,13.40985727426946,0.0,4.176533953933339e-06,0.020087567359507313,6099.98752467765,0.030011167857462162
86,IOT,Br. Indian Ocean Terr.,1,1,13.043319862704521,13.40985727426946,0.0,0.0,0.01558891454965358,,-0.04678143047805791
90,SLB,Solomon Isds,1,1,15.14936379329539,13.40985727426946,0.0,0.0,0.019077174749807545,2152.4814901659447,0.07461318306351868
92,VGB,Br. Virgin Isds,1,1,16.503329664067127,13.40985727426946,0.0,0.0,0.020833333333333332,,-0.10896323139461787
96,BRN,Brunei Darussalam,0,0,17.366952833621653,13.40985727426946,0.0,7.038890335464683e-07,0.047704965357967664,30806.62390059415,-0.010112766133125136
100,BGR,Bulgaria,0,0,19.436538437766277,13.40985727426946,0.0,0.00018620478467569856,0.2897661662817552,7946.04964480326,0.01194854790684057
104,MMR,Myanmar,0,0,19.058697523025636,13.40985727426946,0.0,6.503137228362731e-08,0.197459584295612,1251.00977653281,0.06567210404069268
108,BDI,Burundi,0,0,15.539962017670824,13.40985727426946,0.0,1.6234526558959282e-08,0.02018379522709777,240.25322424144,0.15554521225013906
112,BLR,Belarus,0,0,19.493663615027707,13.40985727426946,0.0,1.88815211482315e-05,0.25875673595073134,6598.905449384175,-0.025153205305148713
116,KHM,Cambodia,0,0,18.930803490670147,13.40985727426946,0.0,0.0001524257706204581,0.15102963818321785,1611.25783077751,0.07810413144735702
120,CMR,Cameroon,0,0,17.803041295171095,13.40985727426946,0.0,0.00014235951370059858,0.043254426481909164,1525.658061238595,0.03086491394334639
124,CAN,Canada,2,2,21.972735644224965,13.40985727426946,0.0,7.146221852700633e-05,0.8877501924557352,46446.0227507808,-0.005627470905204128
132,CPV,Cabo Verde,0,0,15.769018493459521,13.40985727426946,0.0,4.962615375757907e-05,0.02013568129330254,3927.035840869255,0.07527724177729646
136,CYM,Cayman Isds,1,1,17.050984399117883,13.40985727426946,0.0,0.0,0.02218052347959969,77090.73172180049,0.14668560034491546
140,CAF,Central African Rep.,0,0,15.087405370567769,13.40985727426946,0.0,2.405877955158218e-05,0.017537528868360276,421.08725582448153,0.1638242998733868
144,LKA,Sri Lanka,0,0,18.883810176303264,13.40985727426946,0.0,1.755259763467506e-05,0.16161470361816782,4069.831780921565,0.0536423300037945
148,TCD,Chad,0,0,15.751240808083397,13.40985727426946,0.0,0.0001061380673543429,0.019005003849114705,971.3236802410499,0.009763142786402583
152,CHL,Chile,0,0,20.119670702337306,13.40985727426946,0.0,2.7310419549280738e-05,0.4425760200153965,14704.79267167615,-0.014699044182574875
156,CHN,China,2,2,23.254442267552125,13.40985727426946,0.0,0.00021536276251799864,0.8818081216320246,8215.10072198875,0.01241687538511405
