Rank,ISO3,Country,Cluster,Import scale (log),Opportunity rate,Growth slope,Priority score
1,VNM,Viet Nam,0,21.144,0.722,0.109,0.888
2,POL,Poland,0,21.324,0.907,0.042,0.879
3,USA,USA,2,23.638,0.954,0.011,0.876
4,IND,India,2,21.953,0.717,0.046,0.867
5,DEU,Germany,2,22.893,0.957,0.009,0.865
6,MEX,Mexico,2,21.879,0.855,0.028,0.865
7,CHN,China,2,23.254,0.882,0.012,0.859
8,ESP,Spain,2,21.734,0.914,0.014,0.852
9,GBR,United Kingdom,2,22.376,0.953,0.004,0.845
10,CZE,Czechia,0,20.951,0.776,0.037,0.835
11,ITA,Italy,2,22.03,0.925,0.002,0.832
12,ARE,United Arab Emirates,0,21.364,0.761,0.025,0.83
13,PHL,Philippines,0,20.523,0.521,0.052,0.821
14,NLD,Netherlands,2,22.175,0.923,-0.005,0.82
15,BEL,Belgium,2,21.724,0.908,0.002,0.817
16,ROU,Romania,0,20.278,0.64,0.051,0.813
17,IRL,Ireland,0,20.369,0.495,0.052,0.812
18,FRA,France,2,22.338,0.891,-0.008,0.811
19,KOR,Rep. of Korea,2,22.086,0.843,-0.004,0.807
20,EGY,Egypt,0,20.253,0.466,0.057,0.805
