k,description_short,cluster_kmeans,cluster_agg,log_world_import,median_world_demand_growth,median_global_demand_log,log_n_markets,mean_market_penetration,opportunity_rate,world_import_slope
010121,"Horses: live, pure-bred breeding animals",0,0,21.62462140605955,0.029412035313171714,14.124633591299908,5.429345628954441,3.3606649069337084e-06,0.1987885462555066,0.03346687712930706
010129,"Horses: live, other than pure-bred breeding animals",0,0,21.558034178840582,0.07426394276250103,13.9992854778919,5.429345628954441,1.4668200902102572e-05,0.1998898678414097,0.08354426253404681
010130,Asses: live,0,0,15.947609534369002,0.03275535131993845,8.314716712509478,5.429345628954441,0.0,0.40198237885462557,0.0549039319110248
010190,Mules and hinnies: live,0,0,17.803604982042895,0.03719183988571084,10.287570419528622,5.429345628954441,0.0,0.2026431718061674,-0.07460076056418587
010221,"Cattle: live, pure-bred breeding animals",0,0,21.55089997658761,-0.03647951249691911,14.060423048295519,5.429345628954441,0.0,0.2026431718061674,-0.019599910261504802
010229,"Cattle: live, other than pure-bred breeding animals",0,0,23.279299238345146,0.001307205253295196,15.759331724933848,5.429345628954441,0.0,0.2026431718061674,0.035862947236742194
010231,"Buffalo: live, pure-bred breeding animals",1,1,17.41689239106384,0.13309744978856208,9.257057896132967,5.429345628954441,0.0,1.0,0.25760416850281065
010239,"Buffalo: live, other than pure-bred breeding animals",1,1,19.216258481646708,0.18869578923063257,11.670174005422442,5.429345628954441,0.0,0.8006607929515418,0.16649905282574012
010290,"Bovine animals: live, other than cattle and buffalo",0,0,21.6124468720256,-0.17521935507913955,14.049069540818964,5.429345628954441,0.0,0.2026431718061674,-0.1323552071544604
010310,"Swine: live, pure-bred breeding animals",0,0,19.843137689405424,-0.000700591421643415,12.32596144919404,5.429345628954441,0.0,0.2026431718061674,0.007558105006153863
010391,"Swine: live, other than pure-bred breeding animals, weighing",0,0,21.85460515557189,0.08452323594707623,14.350918963111987,5.429345628954441,0.0,0.2026431718061674,0.021593707339387258
010392,"Swine: live, other than pure-bred breeding animals, weighing",0,0,22.19909589214373,-0.04030374029957828,14.637154229271234,5.429345628954441,0.0,0.2026431718061674,-0.0666143073420885
010410,Sheep: live,2,2,21.804470411187584,0.025197822360396027,14.32628610180241,5.429345628954441,0.0005506607929515419,0.2026431718061674,0.03174738640253057
010420,Goats: live,0,0,20.3233254754094,0.13380337937386577,12.821141085682001,5.429345628954441,0.0,0.2026431718061674,0.009952695081120738
010511,"Poultry: live, fowls of the species Gallus domesticus, weigh",0,0,21.605495770854972,0.022345176581919812,14.078450980631633,5.429345628954441,1.6741698318508968e-07,0.2026431718061674,0.024192181812497736
010512,"Poultry: live, turkeys, weighing not more than 185g",0,0,19.51549540770585,0.015834648726832157,12.017523868954886,5.429345628954441,2.1967202127291693e-08,0.20209251101321585,0.014804503082609674
010513,"Poultry: live, ducks, weighing not more than 185g",0,0,18.20655151923935,-0.015263780333690524,10.66643178036897,5.429345628954441,0.0,0.2026431718061674,-0.01571795005381687
010514,"Poultry: live, geese, weighing not more than 185g",1,1,15.33167300062691,0.016039540199697777,7.791433373105228,5.429345628954441,0.0,1.0,0.009891764234399256
010515,"Poultry: live, guinea fowls, weighing not more than 185g",1,1,15.19703564590961,0.11509236697786152,7.535577105949159,5.429345628954441,0.0,0.900330396475771,0.1235943130485548
