country_name,"Buttons: of plastics, not covered with textile material","Cattle: live, pure-bred breeding animals","Coke and semi-coke: of coal, lignite or peat, whether or not","Fabrics: knitted or crocheted fabrics, other than those of h","Fat: pig fat, free of lean meat, not rendered or otherwise e","Meat: of bovine animals, cuts with bone in (excluding carcas","Meat: of swine, n.e.c. in item no. 0203.1, fresh or chilled","Meat: salted in brine, dried or smoked, of swine, n.e.c. in ","Petroleum coke: (not calcined), obtained from bituminous min","Petroleum coke: calcined, obtained from bituminous minerals",Slide fasteners: parts,"Steroidal hormones, their derivatives and structural analogu","Tarpaulins, awnings and sunblinds: of textile materials othe","Wood pulp: chemical wood pulp, soda or sulphate, (other than"
Belgium,0.0,223410.045,1962910.156,255117.442,345740.379,45343.267,1568161.42,1176782.385,484296.73099999997,628472.187,68180.734,2446295.324,70917.9,1848281.295
Canada,18325.124,139654.786,2563719.331,257800.829,0.0,70833.225,4368127.992,611756.31,1746891.855,2843163.367,77982.741,5713001.563,49019.98,938854.817
China,337896.936,2518515.452,1577089.104,629876.148,810398.526,6492763.249,492778.075,149350.883,16483533.664,1725156.0699999998,979294.6039999999,117373.352,8026.037,63313242.048999995
France,74246.965,83374.846,3162002.071,329503.69899999996,391225.555,167282.787,7049731.865999999,3639533.266,912104.2609999999,1893812.5080000001,299423.461,7992723.191,219589.924,6930780.421
Germany,141524.607,107001.02799999999,8472940.980999999,479519.088,311000.783,292703.541,7570206.042,3250304.636,1490897.3360000001,1919678.359,287214.334,1144901.833,483170.934,13414158.908
Italy,74802.303,906181.231,1262893.4009999998,299423.64,132264.672,262209.927,7203850.267,925763.183,1817403.607,282487.819,421274.246,3980645.179,62913.257,13512900.32
Japan,32850.392,4802.222,5926925.499,112666.266,667633.958,129680.788,21045625.894,434090.901,7428989.509,446815.156,96653.735,168701.991,4431.974,3579305.996
Mexico,69265.014,183592.575,3211756.719,439346.627,535386.565,80485.361,2313173.19,248924.47,3225607.565,1338946.219,629666.235,365911.462,2543.473,1535856.433
Netherlands,27465.850000000002,767070.093,868285.605,88905.079,480164.469,175096.648,5280447.203,843989.855,1416023.4980000001,2737804.699,13923.803,246613.915,145641.332,16616891.237
Poland,42937.313,333662.18299999996,500345.164,368233.83,120566.41,14832.877,7977730.251999999,270853.865,69390.242,144966.833,216741.541,775470.134,37562.575000000004,4046325.054
Rep. of Korea,30333.186,0.0,1435513.706,27331.625,206162.082,8124964.975,1439184.352,27051.314,1237467.762,65458.397,372665.027,107288.821,24817.149,8778290.266
Russian Federation,57119.795000000006,1853050.268,561386.854,224586.815,1008705.162,155200.553,296947.24,45027.635,405702.821,1156107.417,120090.565,30048.357,17851.261000000002,214725.49599999998
Spain,101494.0,444629.628,1606417.414,191553.812,92503.4,264853.374,977536.34,185577.888,1141558.992,2574995.655,119479.947,628772.647,66821.141,3787318.339
USA,122818.396,85226.48300000001,826859.5920000001,1105661.583,87742.36600000001,444956.137,7283775.756,1692264.347,1882790.776,1365944.688,264654.779,3681326.676,267408.798,16472317.027999999
United Kingdom,48267.718,280542.68,3950368.96,223841.894,116801.806,139891.968,7623340.255,8607354.476,669476.4990000001,360044.93100000004,237868.458,416273.117,109956.211,3564936.017
