country_name,"Buttons: of plastics, not covered with textile material","Cattle: live, pure-bred breeding animals","Coke and semi-coke: of coal, lignite or peat, whether or not","Fabrics: knitted or crocheted fabrics, other than those of h","Fat: pig fat, free of lean meat, not rendered or otherwise e","Meat: of bovine animals, cuts with bone in (excluding carcas","Meat: of swine, n.e.c. in item no. 0203.1, fresh or chilled","Meat: salted in brine, dried or smoked, of swine, n.e.c. in ","Petroleum coke: (not calcined), obtained from bituminous min","Petroleum coke: calcined, obtained from bituminous minerals",Slide fasteners: parts,"Steroidal hormones, their derivatives and structural analogu","Tarpaulins, awnings and sunblinds: of textile materials othe","Wood pulp: chemical wood pulp, soda or sulphate, (other than"
Belgium,0.0,12.31676860486063,14.48993921293737,12.449483194735219,12.75344631501513,10.722039030793466,14.265415058711692,13.978295329372957,13.090455143267812,13.351048644208998,11.129931978046693,14.710085734253033,11.169292249633564,14.42976727655223
Canada,9.816082861845167,11.846936002666842,14.756970015800546,12.45994646410907,0.0,11.168097566834563,15.289845327106374,13.32409093055923,14.37334925638249,14.860428203594365,11.264255635225327,15.55825528633244,10.800003648722335,13.752417196879698
China,12.730499164367655,14.739180576606303,14.271092000647771,13.353280076177521,13.605282647020092,15.686198922345392,13.10781622885513,11.914060431532636,16.617872541486452,14.3608286593748,13.794588820778152,11.67312369572855,8.990570747564083,17.963605076117535
France,11.215165648881948,11.331113930092982,14.96671626797183,12.705345893824529,12.877042095718343,12.027446972535886,15.76850028272304,15.107366282525666,13.723510680159508,14.454103083255069,12.609617447697197,15.89404220969477,12.299521658073072,15.751483123972308
Germany,11.86023594789054,11.58060306653546,15.952388347641518,13.080541066067324,12.647553924263908,12.586918986737974,15.83973097536987,14.994259591730417,14.214889406311501,14.46766872953699,12.567987506095841,13.950830329360759,13.088127840306553,16.411821416548847
Italy,11.222617320741655,13.716995702768681,14.048916788177605,12.609618045510569,11.792567845535178,12.476904523737819,15.790126339173684,13.738374819209405,14.412920001180195,12.55139425002431,12.951041690010179,15.196954720614889,11.049528078371974,16.41915544039606
Japan,10.399749397444209,8.477042221708468,15.595016339647021,11.632194205309524,13.41149683308972,11.772838944099824,16.862203348006393,12.981011544122165,15.820900540572218,13.009902504878866,11.478900474641828,12.035894998074578,8.396825969625214,15.090679763102214
Mexico,11.145709646413106,12.120479762002827,14.98232892125362,12.993046239748598,13.19074618417297,11.295843020480584,14.654131247500338,12.424908813373413,14.986632192735547,14.107394205673836,13.352946760409095,12.810149408913245,7.841678834850561,14.244599371324693
Netherlands,10.22073510196446,13.5503347657541,13.674277129233902,11.39533579936665,13.081886050562678,12.073099085859342,15.479521539011571,13.645896938211335,14.163363853933602,14.822667317739747,9.541426917478177,12.415583350446239,11.88890911424577,16.625930340556707
Poland,10.667519783283266,12.717887329015305,13.123055465855856,12.816476138635885,11.699964294583458,9.604668830499959,15.892164624743222,12.5093384028963,11.147515942566097,11.884267155412962,12.286465481132542,13.56122603846882,10.533790109836435,15.213319880215238
Rep. of Korea,10.320030606325911,0.0,14.177034023004888,10.215836322608345,12.236422794768249,15.910452098478999,14.179587783690067,10.205527825902344,14.028578530278095,11.089185336280387,12.828437927569638,11.58328905925397,10.11933047902353,15.987792330042325
Russian Federation,10.952923514983837,14.432344172450867,13.238167307478156,12.322022067811226,13.824179039877247,11.95247989312449,12.601313126502717,10.715053899711581,12.913378667439563,13.960570110148977,11.696009772462562,10.310596542063871,9.789885445852907,12.277120385661034
Spain,11.527764815166869,13.00499916702839,14.289517671312256,12.162929271191489,11.435011489936784,12.486935421844796,13.792791769600568,12.131235342864215,13.947906298980548,14.761358793050004,11.690912198311358,13.351526609231609,11.109789756702435,15.147169028388188
USA,11.718470230105462,11.353079231225289,13.62539138905858,13.91595533585661,11.382171537330601,13.005733235160864,15.801160070815204,14.341578631320719,14.448266220536976,14.127357558439558,12.486185313435405,15.11878402660085,12.496537584713916,16.617191834691337
United Kingdom,10.784538969362544,12.544484713746622,15.189319793250903,12.3186997186935,11.668242373060295,11.848632894915646,15.846725316464552,15.96812768358043,13.4142528348854,12.793986888404989,12.379477306376446,12.939099257337146,11.607846578188873,15.086656944633797
