k,world_import_v,description_short,world_import_usd
270900,14248515253.544,Oils: petroleum oils and oils obtained from bituminous miner,14248515253544.0
271000,9233851025.988,"Petroleum oils and oils from bituminous minerals, not crude:",9233851025988.0
710812,4013229321.094,"Metals: gold, non-monetary, unwrought (but not powder)",4013229321094.0
300490,3590592934.45,Medicaments: consisting of mixed or unmixed products n.e.c. ,3590592934450.0
851712,3486679223.175,Telephones for cellular networks or for other wireless netwo,3486679223175.0
870323,3174970550.7060003,Vehicles: spark-ignition internal combustion reciprocating p,3174970550706.0005
854231,2989816711.259,"Electronic integrated circuits: processors and controllers, ",2989816711259.0
854239,2737883416.259,Electronic integrated circuits: n.e.c. in heading no. 8542,2737883416259.0
271111,2031097613.596,"Petroleum gases and other gaseous hydrocarbons: liquefied, n",2031097613596.0
271121,2006262470.264,Petroleum gases and other gaseous hydrocarbons: in gaseous s,2006262470264.0
847130,1943200862.951,"Automatic data processing machines: portable, weighing not m",1943200862951.0
851762,1892179307.121,Communication apparatus (excluding telephone sets or base st,1892179307121.0
300210,1681624694.899,"Blood, human or animal, antisera, other blood fractions and ",1681624694899.0
854232,1641232516.57,Electronic integrated circuits: memories,1641232516570.0
880240,1636460021.016,Aeroplanes and other aircraft: of an unladen weight exceedin,1636460021016.0
260111,1448752896.911,Iron ores and concentrates: non-agglomerated,1448752896911.0
847330,1417194243.25,Machinery: parts and accessories of the machines of heading ,1417194243250.0
870324,1290500904.9099998,Vehicles: spark-ignition internal combustion reciprocating p,1290500904909.9998
870332,1286201547.7220001,Vehicles: compression-ignition internal combustion piston en,1286201547722.0
851770,1239978489.874,Telephone sets and other apparatus for the transmission or r,1239978489874.0
