j,unique_products,opportunity_rows,total_partner_import_v,avg_market_penetration,country_name,total_partner_import_usd
826,5183,59492,6575988111.752,0.0,United Kingdom,6575988111752.0
842,5183,59878,23890394108.499,0.0,USA,23890394108499.0
276,5182,59834,11003925078.528,0.0,Germany,11003925078528.0
528,5173,57247,4458184015.748,0.0,Netherlands,4458184015748.0
724,5164,57296,3030997900.062,0.0,Spain,3030997900062.0
380,5163,58040,4365718249.28,0.0,Italy,4365718249279.9995
616,5154,56762,2933091320.258,0.0,Poland,2933091320258.0
56,5144,56420,3520237826.713,0.0,Belgium,3520237826713.0
251,5123,54245,4266540756.849,0.0,France,4266540756849.0
124,5095,55154,4306991238.419,0.0,Canada,4306991238418.9995
156,5071,54663,15269310003.426,0.0,China,15269310003426.0
643,5056,51610,2831229638.038,0.0,Russian Federation,2831229638038.0
484,5055,53129,4940120981.476,0.0,Mexico,4940120981476.0
392,5028,55294,7278675288.851,0.0,Japan,7278675288851.0
40,5000,51817,1857127933.142,0.0,Austria,1857127933142.0
784,4996,47503,2357852998.127,0.0,United Arab Emirates,2357852998127.0
410,4989,52461,4544596607.667,0.0,Rep. of Korea,4544596607667.0
458,4973,48420,2320212059.194,0.0,Malaysia,2320212059194.0
203,4921,48712,1802385156.114,0.0,Czechia,1802385156114.0
764,4886,48474,2308443659.75,0.0,Thailand,2308443659750.0
