k,opportunity_countries,opportunity_rows,total_partner_import_v,avg_rca,avg_market_penetration,description_short,total_partner_import_usd
690890,227,1266,48566859.807000004,0.018659716,0.0,Ceramic flags and pavings: glazed,48566859807.0
620213,227,723,40907202.199,0.0002458946,0.0,"Coats: women's or girls', overcoats, raincoats, car-coats, c",40907202199.0
880260,227,733,32504238.014,,0.0,Spacecraft: (including satellites) and suborbital and spacec,32504238014.0
620113,227,727,16215943.807,0.001167975,0.0,"Coats: men's or boys', overcoats, raincoats, car-coats, cape",16215943807.0
890610,227,2543,11537261.104,,0.0,Vessels: warships,11537261104.0
620212,227,730,10035154.439,0.00011803388,0.0,"Coats: women's or girls', overcoats, raincoats, car-coats, c",10035154439.0
846241,227,914,9410772.274,,0.0,Machine-tools: punching or notching machines (including pres,9410772274.0
261210,227,2724,8420641.813000001,,0.0,Uranium ores and concentrates,8420641813.000001
701952,227,914,7282645.107,,0.0,"Glass fibres: woven fabrics (other than of rovings), of a wi",7282645107.0
401163,227,1636,6857775.965,0.022517353,0.0,Rubber: new pneumatic tyres having a herring-bone or similar,6857775965.0
620112,227,729,5200774.42,0.0010166304,0.0,"Coats: men's or boys', overcoats, raincoats, car-coats, cape",5200774420.0
846011,227,733,4048230.556,,0.0,"Machine-tools: flat-surface grinding machines, in which posi",4048230556.0
010613,227,733,3608740.108,,0.0,"Mammals: live, camels and other camelids (Camelidae)",3608740108.0
401192,227,1456,3511171.394,0.00022140067,0.0,Rubber: new pneumatic tyres having other than a herring-bone,3511171394.0
410320,227,914,3389668.017,,0.0,"Hides and skins: raw, of reptiles (fresh or salted, dried, l",3389668017.0
160557,227,1276,3388372.513,,0.0,"Mollusc preparations: abalone, prepared or preserved",3388372513.0
690710,227,1273,3113199.46,0.32422328,0.0,"Ceramic tiles, cubes and similar articles: unglazed, whether",3113199460.0
690810,227,1273,2898315.725,0.021999713,0.0,"Ceramic tiles, cubes and similar articles: glazed, whether o",2898315725.0
620191,227,911,2748196.5810000002,0.0022628275,0.0,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets",2748196581.0
401193,227,1635,2701889.4,0.18936916,0.0,Rubber: new pneumatic tyres having other than a herring-bone,2701889400.0
