sector,alg_exports,partner_demand,opportunity_rows,avg_penetration,world_demand,alg_exports_usd,partner_demand_usd,world_demand_usd
Chemicals,19353752.112,22170044154.737,484548,0.00014668531,22170044154.737,19353752112.0,22170044154737.0,22170044154737.0
Textiles,145394.576,9247475228.477,445175,3.8737628e-05,9247475228.477,145394576.0,9247475228477.0,9247475228477.0
Machinery / electrical,1206039.922,59020817187.009,418530,3.4687004e-05,59020817187.009,1206039922.0,59020817187009.0,59020817187009.0
Base metals,3874418.225,16175603097.294,330945,7.4161115e-05,16175603097.294,3874418225.0,16175603097294.0,16175603097294.0
Animal products,353084.62,4599298891.886,235900,0.00013665839,4599298891.886,353084620.0,4599298891886.0,4599298891886.0
Vegetable products,1439923.098,6743144200.044,169488,0.00031158482,6743144200.044,1439923098.0,6743144200044.0,6743144200044.0
"Wood, paper",461125.14,5004633725.036,132102,0.00015127638,5004633725.036,461125140.0,5004633725036.0,5004633725036.0
Plastics and rubber,227857.15,10088567154.763,119066,5.0014656e-05,10088567154.763,227857150.0,10088567154763.0,10088567154763.0
Instruments,78169.148,7704293731.212,115659,2.0037607e-05,7704293731.212,78169148.0,7704293731212.0,7704293731212.0
"Food, beverages, tobacco",3253489.684,7554983078.524,113640,0.00031970075,7554983078.524,3253489684.0,7554983078524.0,7554983078524.0
Mineral products,549977748.371,35700285816.964,90006,0.001123033,35700285816.964,549977748371.0,35700285816964.0,35700285816964.0
"Stone, cement, glass",503445.296,2134203141.677,80652,0.00019560785,2134203141.677,503445296.0,2134203141677.0,2134203141677.0
Transport equipment,209284.921,22822971281.282,74345,3.6860372e-05,22822971281.282,209284921.0,22822971281282.0,22822971281282.0
Miscellaneous manufactures,54661.382,5010231957.344,64018,3.666398e-05,5010231957.344,54661382.0,5010231957344.0,5010231957344.0
Leather and hides,255169.191,1299866777.418,40406,0.00023856563,1299866777.418,255169191.0,1299866777418.0,1299866777418.0
Precious metals / stones,86420.341,9087118557.263,27841,1.7734654e-06,9087118557.263,86420341.0,9087118557263.0,9087118557263.0
Animal/vegetable fats,131530.235,1416014699.88,26041,0.00038922063,1416014699.8799999,131530234.99999999,1416014699880.0,1416014699879.9998
Footwear / headgear,2210.467,1915044824.5,25285,6.265384e-06,1915044824.5,2210467.0,1915044824500.0,1915044824500.0
Arms / ammunition,8998.394,174350901.88,9914,7.89559e-05,174350901.88,8998394.0,174350901880.0,174350901880.0
Art / antiques,6817.256,289425530.411,3663,2.6897187e-05,289425530.411,6817256.0,289425530411.0,289425530411.0
