j,alg_export_v,country_name,alg_export_usd
380,95317686.92,Italy,95317686920.0
724,80296622.576,Spain,80296622576.0
251,63510874.564,France,63510874564.0
842,47186600.766,USA,47186600766.0
826,33497135.25,United Kingdom,33497135250.0
528,28829683.853,Netherlands,28829683853.0
76,24390606.346,Brazil,24390606346.0
792,22469995.379,Türkiye,22469995379.0
788,18598017.371,Tunisia,18598017371.0
410,17840269.112,Rep. of Korea,17840269112.0
276,15651136.39,Germany,15651136390.0
156,14398277.035,China,14398277035.0
124,13300915.83,Canada,13300915830.0
620,11970252.111,Portugal,11970252111.0
699,11959754.703,India,11959754703.0
