k,alg_export_v,description_short,alg_export_usd
270900,202173986.77,Oils: petroleum oils and oils obtained from bituminous miner,202173986770.0
271121,126936586.794,Petroleum gases and other gaseous hydrocarbons: in gaseous s,126936586794.0
271000,97649300.857,"Petroleum oils and oils from bituminous minerals, not crude:",97649300857.0
271111,58300314.412,"Petroleum gases and other gaseous hydrocarbons: liquefied, n",58300314412.0
271112,22013581.243,"Petroleum gases and other gaseous hydrocarbons: liquefied, p",22013581243.0
271113,14663200.003,"Petroleum gases and other gaseous hydrocarbons: liquefied, b",14663200003.0
271129,10507850.703,Petroleum gases and other gaseous hydrocarbons: in gaseous s,10507850703.0
310210,9270534.929,"Fertilizers, mineral or chemical: nitrogenous, urea, whether",9270534929.0
271119,8656925.494,"Petroleum gases and other gaseous hydrocarbons: liquefied, n",8656925494.0
281410,6064330.31,Ammonia: anhydrous,6064330310.0
270799,4447573.045,Oils and other products of the distillation of high temperat,4447573045.0
170199,2655655.699,"Sugars: sucrose, chemically pure, in solid form, not contain",2655655699.0
280429,1926103.582,"Gases, rare: other than argon",1926103582.0
252310,1633930.401,Cement clinkers (whether or not coloured),1633930401.0
721420,1438784.25,"Iron or non-alloy steel: bars and rods, hot-rolled, hot-draw",1438784250.0
