j,k,iso3,country_name,description_short,series_id,t,actual,model,prediction
100,260300,BGR,Bulgaria,Copper ores and concentrates,100__260300,2022,2333651.54,naive_last_value,2120643.714
100,260300,BGR,Bulgaria,Copper ores and concentrates,100__260300,2022,2333651.54,moving_average_3,1836920.5833333333
100,260300,BGR,Bulgaria,Copper ores and concentrates,100__260300,2022,2333651.54,trend_adjusted_naive,2401279.7769046146
100,260300,BGR,Bulgaria,Copper ores and concentrates,100__260300,2022,2333651.54,simple_exponential_smoothing,1992225.6053300782
100,260300,BGR,Bulgaria,Copper ores and concentrates,100__260300,2023,1976886.09,naive_last_value,2333651.54
100,260300,BGR,Bulgaria,Copper ores and concentrates,100__260300,2023,1976886.09,moving_average_3,2084850.5643333334
100,260300,BGR,Bulgaria,Copper ores and concentrates,100__260300,2023,1976886.09,trend_adjusted_naive,2642476.0615607635
100,260300,BGR,Bulgaria,Copper ores and concentrates,100__260300,2023,1976886.09,simple_exponential_smoothing,2162938.572665039
116,710813,KHM,Cambodia,"Metals: gold, semi-manufactured",116__710813,2022,6503965.085,naive_last_value,5687878.114999999
116,710813,KHM,Cambodia,"Metals: gold, semi-manufactured",116__710813,2022,6503965.085,moving_average_3,2490614.931333333
116,710813,KHM,Cambodia,"Metals: gold, semi-manufactured",116__710813,2022,6503965.085,trend_adjusted_naive,4550302.492
116,710813,KHM,Cambodia,"Metals: gold, semi-manufactured",116__710813,2022,6503965.085,simple_exponential_smoothing,3526822.8677011714
116,710813,KHM,Cambodia,"Metals: gold, semi-manufactured",116__710813,2023,843129.805,naive_last_value,6503965.085
116,710813,KHM,Cambodia,"Metals: gold, semi-manufactured",116__710813,2023,843129.805,moving_average_3,4279083.162666666
116,710813,KHM,Cambodia,"Metals: gold, semi-manufactured",116__710813,2023,843129.805,trend_adjusted_naive,7437142.8099596435
116,710813,KHM,Cambodia,"Metals: gold, semi-manufactured",116__710813,2023,843129.805,simple_exponential_smoothing,5015393.976350586
124,210690,CAN,Canada,Food preparations: n.e.c. in item no. 2106.10,124__210690,2022,1831226.809,naive_last_value,1687162.279
124,210690,CAN,Canada,Food preparations: n.e.c. in item no. 2106.10,124__210690,2022,1831226.809,moving_average_3,1569969.7576666668
124,210690,CAN,Canada,Food preparations: n.e.c. in item no. 2106.10,124__210690,2022,1831226.809,trend_adjusted_naive,1762457.2562492725
124,210690,CAN,Canada,Food preparations: n.e.c. in item no. 2106.10,124__210690,2022,1831226.809,simple_exponential_smoothing,1587677.15753125
124,210690,CAN,Canada,Food preparations: n.e.c. in item no. 2106.10,124__210690,2023,1952857.043,naive_last_value,1831226.809
124,210690,CAN,Canada,Food preparations: n.e.c. in item no. 2106.10,124__210690,2023,1952857.043,moving_average_3,1687583.7973333334
124,210690,CAN,Canada,Food preparations: n.e.c. in item no. 2106.10,124__210690,2023,1952857.043,trend_adjusted_naive,1987592.8164941636
124,210690,CAN,Canada,Food preparations: n.e.c. in item no. 2106.10,124__210690,2023,1952857.043,simple_exponential_smoothing,1709451.9832656248
124,392690,CAN,Canada,Plastics: other articles n.e.c. in chapter 39,124__392690,2022,1941727.671,naive_last_value,1811159.649
124,392690,CAN,Canada,Plastics: other articles n.e.c. in chapter 39,124__392690,2022,1941727.671,moving_average_3,1632724.3896666665
124,392690,CAN,Canada,Plastics: other articles n.e.c. in chapter 39,124__392690,2022,1941727.671,trend_adjusted_naive,1853835.1870083713
124,392690,CAN,Canada,Plastics: other articles n.e.c. in chapter 39,124__392690,2022,1941727.671,simple_exponential_smoothing,1663125.4680781248
124,392690,CAN,Canada,Plastics: other articles n.e.c. in chapter 39,124__392690,2023,1827624.569,naive_last_value,1941727.671
124,392690,CAN,Canada,Plastics: other articles n.e.c. in chapter 39,124__392690,2023,1827624.569,moving_average_3,1750532.0336666666
124,392690,CAN,Canada,Plastics: other articles n.e.c. in chapter 39,124__392690,2023,1827624.569,trend_adjusted_naive,2081708.4514933806
124,392690,CAN,Canada,Plastics: other articles n.e.c. in chapter 39,124__392690,2023,1827624.569,simple_exponential_smoothing,1802426.5695390624
124,401110,CAN,Canada,"Rubber: new pneumatic tyres, of a kind used on motor cars (i",124__401110,2022,1489973.6979999999,naive_last_value,1348912.7820000001
124,401110,CAN,Canada,"Rubber: new pneumatic tyres, of a kind used on motor cars (i",124__401110,2022,1489973.6979999999,moving_average_3,1338663.9516666667
124,401110,CAN,Canada,"Rubber: new pneumatic tyres, of a kind used on motor cars (i",124__401110,2022,1489973.6979999999,trend_adjusted_naive,1329291.283647552
124,401110,CAN,Canada,"Rubber: new pneumatic tyres, of a kind used on motor cars (i",124__401110,2022,1489973.6979999999,simple_exponential_smoothing,1344464.5146464845
124,401110,CAN,Canada,"Rubber: new pneumatic tyres, of a kind used on motor cars (i",124__401110,2023,1487449.442,naive_last_value,1489973.6979999999
124,401110,CAN,Canada,"Rubber: new pneumatic tyres, of a kind used on motor cars (i",124__401110,2023,1487449.442,moving_average_3,1323316.0526666667
