rank,k,description_short,average_opportunity_score,total_forecasted_value,total_predicted_growth,high_opportunity_countries,ranked_opportunities
1,870390,Vehicles: for transport of persons (other than those of head,0.6736919690949751,877558536.1121516,299910277.7201516,30,30
2,710812,"Metals: gold, non-monetary, unwrought (but not powder)",0.6512738765528278,1302760298.3063607,95045464.84136058,27,30
3,880240,Aeroplanes and other aircraft: of an unladen weight exceedin,0.5599729364388936,301497938.69441813,94279320.78641815,29,30
4,851712,Telephones for cellular networks or for other wireless netwo,0.5321893949503811,839579090.2921025,90031032.56410237,19,30
5,870322,Vehicles: spark-ignition internal combustion reciprocating p,0.5203517948874471,364812362.6822029,116955025.92620288,22,30
6,300210,"Blood, human or animal, antisera, other blood fractions and ",0.5118010774773711,654253723.2629465,88080711.96594644,16,30
7,870323,Vehicles: spark-ignition internal combustion reciprocating p,0.4991285768546271,678575485.5244988,98038459.01449892,12,30
8,841112,Turbo-jets: of a thrust exceeding 25kN,0.49727485361900214,237795029.43052247,54895513.191522464,18,30
9,870421,Vehicles: compression-ignition internal combustion piston en,0.4969429846442553,225447234.13401088,84795676.79301088,20,30
10,880330,Aircraft and spacecraft: parts of aeroplanes or helicopters ,0.4969316553019201,233176623.71620935,70437817.69720934,21,30
11,841191,Turbines: parts of turbo-jets and turbo-propellers,0.49484657036240015,223862640.90345493,49075091.895454936,16,30
12,300490,Medicaments: consisting of mixed or unmixed products n.e.c. ,0.47784875376860453,687702918.0312811,-4462430.209718839,9,30
13,401110,"Rubber: new pneumatic tyres, of a kind used on motor cars (i",0.47283409120641096,97005920.72065961,7823350.56265961,10,30
14,711319,Jewellery: of precious metal (excluding silver) whether or n,0.4600445874663763,303571744.4212082,69515801.4742082,9,30
15,901380,"Optical devices, appliances and instruments: n.e.c. in headi",0.45016384990353253,10311078.430779012,-1616299.8522209886,18,30
16,870332,Vehicles: compression-ignition internal combustion piston en,0.444735846641768,153905639.89656478,33466321.339564767,8,30
17,853710,"Boards, panels, consoles, desks and other bases: for electri",0.440007837729046,193282149.08170256,41307325.30270256,6,30
18,854231,"Electronic integrated circuits: processors and controllers, ",0.43979947112684487,681778189.5297166,-117121386.42628342,9,30
19,854140,"Electrical apparatus: photosensitive, including photovoltaic",0.4363951825817525,198938071.18909276,36759814.47709275,6,30
