rank,year,forecast_horizon,country_name,iso3,j,k,description_short,forecasted_value,latest_historical_demand,latest_alg_export_v,predicted_growth_abs,predicted_growth_pct,global_demand_rank,rca,market_penetration,low_market_penetration_score,forecast_opportunity_score,model_used,is_hydrocarbon,forecast_scope,reason_or_interpretation
1,2026,3,Germany,DEU,276,870390,Vehicles: for transport of persons (other than those of head,52787864.88447248,29667571.359,0.0,23120293.52547248,77.93119715024692,0.9987494616326352,,0.0,1.0,0.8495783347456964,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, positive predicted growth, strong global demand, low current Algerian market penetration."
2,2026,3,USA,USA,842,870390,Vehicles: for transport of persons (other than those of head,61845548.73935404,45510738.456,0.0,16334810.283354037,35.89221101992579,0.9987494616326352,,0.0,1.0,0.8263090881463722,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, positive predicted growth, strong global demand, low current Algerian market penetration."
3,2026,3,United Kingdom,GBR,826,870390,Vehicles: for transport of persons (other than those of head,48103315.5789002,26376876.662,0.0,21726438.916900203,82.36926303029851,0.9987494616326352,,0.0,1.0,0.8228364205653973,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
4,2025,2,Switzerland,CHE,757,710812,"Metals: gold, non-monetary, unwrought (but not powder)",108626248.72268344,100491728.489,0.0,8134520.233683437,8.094716207985075,0.9995192845733588,,0.0,1.0,0.8138047269826201,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
5,2026,3,Switzerland,CHE,757,710812,"Metals: gold, non-monetary, unwrought (but not powder)",108626248.72268304,100491728.489,0.0,8134520.23368305,8.094716207984689,0.9995192845733588,,0.0,1.0,0.8138047269826194,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
6,2024,1,Switzerland,CHE,757,710812,"Metals: gold, non-monetary, unwrought (but not powder)",107293699.23246844,100491728.489,0.0,6801970.7434684485,6.768687180271763,0.9995192845733588,,0.0,1.0,0.8108889281601326,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
7,2026,3,China,CHN,156,710812,"Metals: gold, non-monetary, unwrought (but not powder)",70580769.88272353,67039061.993,0.0,3541707.8897235245,5.2830510816117,0.9995192845733588,,0.0,1.0,0.8076221701204629,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
8,2025,2,China,CHN,156,710812,"Metals: gold, non-monetary, unwrought (but not powder)",70333069.67282213,67039061.993,0.0,3294007.679822132,4.913564691830088,0.9995192845733588,,0.0,1.0,0.8067955682296546,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
9,2025,2,United Arab Emirates,ARE,784,710812,"Metals: gold, non-monetary, unwrought (but not powder)",70774303.50653464,67677931.367,0.0,3096372.1395346373,4.575157775942956,0.9995192845733588,,0.0,1.0,0.80606558695073,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
10,2026,3,United Arab Emirates,ARE,784,710812,"Metals: gold, non-monetary, unwrought (but not powder)",70677577.04150432,67677931.367,0.0,2999645.674504325,4.432236053785419,0.9995192845733588,,0.0,1.0,0.8057513170663873,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
11,2024,1,China,CHN,156,710812,"Metals: gold, non-monetary, unwrought (but not powder)",69366110.50001225,67039061.993,0.0,2327048.507012248,3.471182975763042,0.9995192845733588,,0.0,1.0,0.7981040016560184,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
12,2026,3,France,FRA,251,870390,Vehicles: for transport of persons (other than those of head,42173647.2111579,20990153.224,0.0,21183493.987157904,100.92110220013468,0.9987494616326352,,0.0,1.0,0.7889867005039224,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
13,2025,2,Germany,DEU,276,870390,Vehicles: for transport of persons (other than those of head,46732867.04153116,29667571.359,0.0,17065295.68253116,57.52171445390054,0.9987494616326352,,0.0,1.0,0.787598824685102,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
14,2024,1,United Arab Emirates,ARE,784,710812,"Metals: gold, non-monetary, unwrought (but not powder)",66910998.99882341,67677931.367,0.0,-766932.3681765869,-1.1332089392888065,0.9995192845733588,,0.0,1.0,0.7739643363187465,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
15,2025,2,USA,USA,842,870323,Vehicles: spark-ignition internal combustion reciprocating p,107973262.7914234,95954736.52,0.0,12018526.271423414,12.525203765129794,0.9983645501622732,0.0001679715272888,0.0,1.0,0.7735134005875571,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
16,2026,3,USA,USA,842,870323,Vehicles: spark-ignition internal combustion reciprocating p,107861905.91170496,95954736.52,0.0,11907169.391704977,12.409152297784848,0.9983645501622732,0.0001679715272888,0.0,1.0,0.7732582155767012,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
17,2026,3,Belgium,BEL,56,870390,Vehicles: for transport of persons (other than those of head,39285597.81483448,19583611.817,0.0,19701985.99783448,100.60445530651154,0.9987494616326352,,0.0,1.0,0.7725001691287315,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
18,2024,1,USA,USA,842,870323,Vehicles: spark-ignition internal combustion reciprocating p,106762271.5010548,95954736.52,0.0,10807534.981054813,11.263159457274089,0.9983645501622732,0.0001679715272888,0.0,1.0,0.77073829745643,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
19,2026,3,USA,USA,842,851712,Telephones for cellular networks or for other wireless netwo,69780029.81777099,62679106.510000005,0.0,7100923.307770982,11.329011696486262,0.9993268288381778,0.0006325295349067,0.0,1.0,0.7684514625512004,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
20,2025,2,USA,USA,842,851712,Telephones for cellular networks or for other wireless netwo,69700638.8315358,62679106.510000005,0.0,7021532.321535796,11.202349096050948,0.9993268288381778,0.0006325295349067,0.0,1.0,0.7677197385388036,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
21,2024,1,USA,USA,842,851712,Telephones for cellular networks or for other wireless netwo,69628014.86674686,62679106.510000005,0.0,6948908.356746852,11.086482790941195,0.9993268288381778,0.0006325295349067,0.0,1.0,0.7670503842275458,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
22,2026,3,China,CHN,156,260300,Copper ores and concentrates,67952680.27056769,58920062.507,0.0,9032617.763567686,15.330292228550446,0.9949003469290169,3.156534488379897e-07,0.0,1.0,0.7651885360784452,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
23,2026,3,"China, Hong Kong SAR",HKG,344,710812,"Metals: gold, non-monetary, unwrought (but not powder)",59584860.18190645,54356936.535,0.0,5227923.646906443,9.617767262399388,0.9995192845733588,,0.0,1.0,0.7557830852974278,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
24,2026,3,USA,USA,842,300210,"Blood, human or animal, antisera, other blood fractions and ",76441138.71541381,73414195.641,0.0,3026943.074413806,4.123103233624933,0.9981720944270924,6.864140758500904e-07,0.0,1.0,0.7548025650050058,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
25,2025,2,USA,USA,842,300210,"Blood, human or animal, antisera, other blood fractions and ",75281553.18551652,73414195.641,0.0,1867357.5445165187,2.543591914631897,0.9981720944270924,6.864140758500904e-07,0.0,1.0,0.7513293851968929,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
26,2025,2,China,CHN,156,260300,Copper ores and concentrates,66242830.37507031,58920062.507,0.0,7322767.868070312,12.428309741185917,0.9949003469290169,3.156534488379897e-07,0.0,1.0,0.749046642648142,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
27,2024,1,USA,USA,842,300210,"Blood, human or animal, antisera, other blood fractions and ",73205351.11521333,73414195.641,0.0,-208844.5257866681,-0.2844743090395362,0.9981720944270924,6.864140758500904e-07,0.0,1.0,0.7451107640411269,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
28,2025,2,United Kingdom,GBR,826,870390,Vehicles: for transport of persons (other than those of head,40585859.43089985,26376876.662,0.0,14208982.76889985,53.86908750030326,0.9987494616326352,,0.0,1.0,0.7444766721640174,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
29,2025,2,USA,USA,842,870390,Vehicles: for transport of persons (other than those of head,52737273.0689924,45510738.456,0.0,7226534.612992398,15.87874611170954,0.9987494616326352,,0.0,1.0,0.7303066654064392,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
30,2024,1,China,CHN,156,260111,Iron ores and concentrates: non-agglomerated,98008441.76939423,118108273.264,13.818,-20099831.494605765,-17.018140168451936,0.9970173600160068,0.0152378736537231,1.1699434441068743e-07,0.9999998830056556,0.7260285680771859,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
31,2025,2,China,CHN,156,260111,Iron ores and concentrates: non-agglomerated,97446651.7246401,118108273.264,13.818,-20661621.539359897,-17.493796978283033,0.9970173600160068,0.0152378736537231,1.1699434441068743e-07,0.9999998830056556,0.7249826486161275,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
32,2026,3,China,CHN,156,260111,Iron ores and concentrates: non-agglomerated,97446651.72463976,118108273.264,13.818,-20661621.53936024,-17.49379697828332,0.9970173600160068,0.0152378736537231,1.1699434441068743e-07,0.9999998830056556,0.7249826486161268,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
33,2026,3,"China, Hong Kong SAR",HKG,344,851712,Telephones for cellular networks or for other wireless netwo,57399085.987181984,46422080.378000006,0.0,10977005.609181978,23.64608720634613,0.9993268288381778,0.0006325295349067,0.0,1.0,0.7248583678429356,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
34,2024,1,China,CHN,156,260300,Copper ores and concentrates,63342233.91465985,58920062.507,0.0,4422171.407659851,7.505374603318648,0.9949003469290169,3.156534488379897e-07,0.0,1.0,0.721663467627015,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
35,2026,3,Italy,ITA,380,870390,Vehicles: for transport of persons (other than those of head,29766438.83818116,15907352.841,0.0,13859085.99718116,87.12377311113897,0.9987494616326352,,0.0,1.0,0.7181597159031702,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
36,2026,3,USA,USA,842,300490,Medicaments: consisting of mixed or unmixed products n.e.c. ,64268170.08065328,64312386.365,0.0,-44216.28434672207,-0.0687523614747802,0.9991343731029968,0.0038597822723884,0.0,1.0,0.715686467561913,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
37,2025,2,USA,USA,842,300490,Medicaments: consisting of mixed or unmixed products n.e.c. ,64215263.97915214,64312386.365,0.0,-97122.38584785908,-0.1510166102322007,0.9991343731029968,0.0038597822723884,0.0,1.0,0.7152035607648752,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
38,2024,1,USA,USA,842,300490,Medicaments: consisting of mixed or unmixed products n.e.c. ,64182360.37967518,64312386.365,0.0,-130025.98532482237,-0.2021787600709914,0.9991343731029968,0.0038597822723884,0.0,1.0,0.7149032292079547,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
39,2025,2,Belgium,BEL,56,870390,Vehicles: for transport of persons (other than those of head,31885361.54660088,19583611.817,0.0,12301749.729600884,62.81655214857798,0.9987494616326352,,0.0,1.0,0.7144841113129443,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
40,2026,3,USA,USA,842,841191,Turbines: parts of turbo-jets and turbo-propellers,28475910.16105336,16057493.743,0.0,12418416.41805336,77.33720228579858,0.9927833338420268,0.0457660488944353,0.0,1.0,0.7134962594393269,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
41,2025,2,"China, Hong Kong SAR",HKG,344,710812,"Metals: gold, non-monetary, unwrought (but not powder)",55003812.21476513,54356936.535,0.0,646875.6797651276,1.1900517597208766,0.9995192845733588,,0.0,1.0,0.7111003492400455,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
42,2026,3,USA,USA,842,870322,Vehicles: spark-ignition internal combustion reciprocating p,40826403.18776012,25471228.306,0.0,15355174.881760124,60.28439106779574,0.996632448545645,6.24687399865046e-05,0.0,1.0,0.7096061976915067,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
43,2025,2,France,FRA,251,870390,Vehicles: for transport of persons (other than those of head,32253629.668306667,20990153.224,0.0,11263476.444306668,53.66076333081783,0.9987494616326352,,0.0,1.0,0.6964537630189261,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
44,2026,3,Canada,CAN,124,870390,Vehicles: for transport of persons (other than those of head,24889015.053418204,11028497.599,0.0,13860517.454418205,125.6791084188566,0.9987494616326352,,0.0,1.0,0.6903167709867977,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
45,2026,3,Ireland,IRL,372,880240,Aeroplanes and other aircraft: of an unladen weight exceedin,31748687.227693804,20895049.653,0.0,10853637.574693806,51.943583551788784,0.9962475370752832,,0.0,1.0,0.689294998137479,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
46,2026,3,USA,USA,842,880240,Aeroplanes and other aircraft: of an unladen weight exceedin,23636729.43740109,11014134.822,0.0,12622594.615401084,114.6035963731649,0.9962475370752832,,0.0,1.0,0.6826676696699052,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
47,2024,1,"China, Hong Kong SAR",HKG,344,710812,"Metals: gold, non-monetary, unwrought (but not powder)",52054170.11899737,54356936.535,0.0,-2302766.416002631,-4.236380051550363,0.9995192845733588,,0.0,1.0,0.6823300590849786,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
48,2026,3,India,IND,699,710812,"Metals: gold, non-monetary, unwrought (but not powder)",45520339.86039832,41405614.799,0.0,4114725.06139832,9.937601654685963,0.9995192845733588,,0.0,1.0,0.6761985595520184,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
49,2025,2,India,IND,699,710812,"Metals: gold, non-monetary, unwrought (but not powder)",45009455.60434201,41405614.799,0.0,3603840.805342011,8.703749051515226,0.9995192845733588,,0.0,1.0,0.6705690463118292,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
50,2026,3,China,CHN,156,120190,"Soya beans: other than seed, whether or not broken",56919436.23517281,56795430.754,0.0,124005.48117280751,0.2183370731175835,0.9945154354586552,1.4519592151066263e-05,0.0,1.0,0.6689150151744264,random_forest,False,non_hydrocarbon_diversification,"High forecasted demand, strong global demand, low current Algerian market penetration."
51,2026,3,China,CHN,156,870390,Vehicles: for transport of persons (other than those of head,21088660.325468864,8696478.246000001,0.0,12392182.079468863,142.49655698464747,0.9987494616326352,,0.0,1.0,0.6686223125959707,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
